source,config,powerline_hz,artifact,target_snr_db,actual_input_snr_db,output_snr_db,snr_improvement_db,rmse_mv,heart_rate_bpm,sqi,tp,fp,fn,precision,recall,f1,mean_abs_timing_error_ms,bias_timing_error_ms
synthetic,balanced,50.0,all,-5,-5.0000000000000275,-1.0563388887779366,3.9436611112220907,0.2454813704275606,74.07930012699308,0.6110002599581803,34,2,1,0.9444444444444444,0.9714285714285714,0.9577464788732395,2.235294117647059,-0.35294117647058826
synthetic,aggressive,50.0,all,-5,-5.0000000000000275,-0.07678012632009004,4.923219873679938,0.21930099442217618,69.83634311512415,0.6593777722643426,34,0,1,1.0,0.9714285714285714,0.9855072463768115,2.235294117647059,-0.5882352941176471
synthetic,balanced,50.0,baseline,-5,-5.00000000000003,0.4511207110910947,5.451120711091125,0.20636952241832918,74.07930012699309,0.5620128926202943,31,5,4,0.8611111111111112,0.8857142857142857,0.8732394366197184,3.4838709677419355,-0.12903225806451613
synthetic,aggressive,50.0,baseline,-5,-5.00000000000003,1.5283292679052627,6.528329267905293,0.18229935467179142,74.07930012699309,0.6328063147363778,34,2,1,0.9444444444444444,0.9714285714285714,0.9577464788732395,3.5294117647058822,-0.9411764705882353
synthetic,balanced,50.0,motion,-5,-5.0000000000000275,-1.4881482154226213,3.511851784577406,0.25799364325644186,80.56741495661754,0.5587958890142171,33,7,2,0.825,0.9428571428571428,0.88,3.878787878787879,0.24242424242424243
synthetic,aggressive,50.0,motion,-5,-5.0000000000000275,-0.4258879936371656,4.574112006362862,0.22829478682062532,78.32345469940728,0.6079498957102798,34,4,1,0.8947368421052632,0.9714285714285714,0.9315068493150684,2.823529411764706,-0.7058823529411765
synthetic,balanced,50.0,impulse,-5,-5.0000000000000275,-0.24408279643622804,4.7559172035638,0.22356598863833066,70.24793388429752,0.5062899839866302,27,8,8,0.7714285714285715,0.7714285714285715,0.7714285714285715,3.8518518518518516,0.2962962962962963
synthetic,aggressive,50.0,impulse,-5,-5.0000000000000275,0.7756513011090937,5.7756513011091215,0.1988012128506975,82.99903167796377,0.5898362410488991,34,7,1,0.8292682926829268,0.9714285714285714,0.8947368421052632,2.9411764705882355,-0.35294117647058826
synthetic,balanced,50.0,all,0,-9.064678185600992e-14,1.147089666870435,1.1470896668705255,0.19047900392277609,71.98306280875089,0.856734259389504,35,0,0,1.0,1.0,1.0,0.8,-0.5714285714285714
synthetic,aggressive,50.0,all,0,-9.064678185600992e-14,2.042206803297389,2.0422068032974794,0.17182693941955082,71.98306280875089,0.8593792961563878,35,0,0,1.0,1.0,1.0,1.0285714285714285,-0.8
synthetic,balanced,50.0,baseline,0,-9.161110932256325e-14,4.305393500124241,4.305393500124333,0.13241339466948418,71.9830628087509,0.7866066188989511,35,0,0,1.0,1.0,1.0,1.1428571428571428,-0.22857142857142856
synthetic,aggressive,50.0,baseline,0,-9.161110932256325e-14,4.74837596563267,4.7483759656327615,0.12582959431259383,71.98306280875087,0.8224095952951969,35,0,0,1.0,1.0,1.0,1.2571428571428571,-0.5714285714285714
synthetic,balanced,50.0,motion,0,-9.112894558928659e-14,0.6702220519342408,0.6702220519343319,0.20122896436442173,71.96274869479328,0.8145105451279957,35,0,0,1.0,1.0,1.0,1.0285714285714285,-0.34285714285714286
